rank,name,imdbLink,year,rating,votes
202,Rocky,http://www.imdb.com/title/tt0075148/?ref_=chttp_tt_202,1976,8,"8.0 based on 222,238 votes"
203,The Man Who Shot Liberty Valance,http://www.imdb.com/title/tt0056217/?ref_=chttp_tt_203,1962,8,"8.0 based on 40,257 votes"
204,Who's Afraid of Virginia Woolf?,http://www.imdb.com/title/tt0061184/?ref_=chttp_tt_204,1966,8,"8.0 based on 38,459 votes"
205,Anatomy of a Murder,http://www.imdb.com/title/tt0052561/?ref_=chttp_tt_205,1959,8,"8.0 based on 32,518 votes"
206,Slumdog Millionaire,http://www.imdb.com/title/tt1010048/?ref_=chttp_tt_206,2008,8,"8.0 based on 429,225 votes"
207,The Manchurian Candidate,http://www.imdb.com/title/tt0056218/?ref_=chttp_tt_207,1962,8,"8.0 based on 53,534 votes"
208,In the Name of the Father,http://www.imdb.com/title/tt0107207/?ref_=chttp_tt_208,1993,8,"8.0 based on 66,194 votes"
209,La Strada,http://www.imdb.com/title/tt0047528/?ref_=chttp_tt_209,1954,8,"8.0 based on 32,663 votes"
210,8½,http://www.imdb.com/title/tt0056801/?ref_=chttp_tt_210,1963,8,"8.0 based on 54,678 votes"
211,"Monsters, Inc.",http://www.imdb.com/title/tt0198781/?ref_=chttp_tt_211,2001,8,"8.0 based on 332,558 votes"
212,Rope,http://www.imdb.com/title/tt0040746/?ref_=chttp_tt_212,1948,8,"8.0 based on 66,566 votes"
